strength,lookback,sharpe,annualized_return,max_drawdown
0.1,3,0.613272756202783,0.0848306023178933,-0.16533206492530372
0.1,5,0.6071084904241111,0.08393012036216385,-0.16995601757983514
0.1,10,0.5944561024610752,0.08234762790791539,-0.1719176581729427
0.25,3,0.5924799477986804,0.08178827452291326,-0.16531912422428707
0.25,5,0.5783278349383163,0.07973892621853085,-0.17404796745741724
0.25,10,0.5451356134365697,0.07558808206196144,-0.17901303004635316
0.5,3,0.5679038357115593,0.07853324397798023,-0.1669092890972027
0.5,5,0.5489452885718562,0.07578757757322907,-0.18049596649849142
0.5,10,0.4671752624119505,0.06531853580891211,-0.19069703262968607
