date,fund,growth
2021-05-10,Combined Maximum-Sharpe (base),1.770927639333352
2021-05-11,Combined Maximum-Sharpe (base),1.7690471877966851
2021-05-12,Combined Maximum-Sharpe (base),1.7004596510129668
2021-05-13,Combined Maximum-Sharpe (base),1.7435064108491425
2021-05-14,Combined Maximum-Sharpe (base),1.7584260496882766
2021-05-17,Combined Maximum-Sharpe (base),1.7366213730597635
2021-05-18,Combined Maximum-Sharpe (base),1.7222605864419538
2021-05-19,Combined Maximum-Sharpe (base),1.6510692589177676
2021-05-20,Combined Maximum-Sharpe (base),1.7020676727323178
2021-05-21,Combined Maximum-Sharpe (base),1.667943908610029
2021-05-24,Combined Maximum-Sharpe (base),1.725893597897646
2021-05-25,Combined Maximum-Sharpe (base),1.7170264238136053
2021-05-26,Combined Maximum-Sharpe (base),1.7429805964661238
2021-05-27,Combined Maximum-Sharpe (base),1.729350171805415
2021-05-28,Combined Maximum-Sharpe (base),1.7111825325040395
2021-06-01,Combined Maximum-Sharpe (base),1.7080794592284532
2021-06-02,Combined Maximum-Sharpe (base),1.7016475684996286
2021-06-03,Combined Maximum-Sharpe (base),1.7142506351053695
2021-06-04,Combined Maximum-Sharpe (base),1.7135870713190877
2021-06-07,Combined Maximum-Sharpe (base),1.7017293428193387
2021-06-08,Combined Maximum-Sharpe (base),1.7017960614812644
2021-06-09,Combined Maximum-Sharpe (base),1.6876511149876614
2021-06-10,Combined Maximum-Sharpe (base),1.6745831032832765
2021-06-11,Combined Maximum-Sharpe (base),1.6702328460849458
2021-06-14,Combined Maximum-Sharpe (base),1.6590608795432613
2021-06-15,Combined Maximum-Sharpe (base),1.6527419570678554
2021-06-16,Combined Maximum-Sharpe (base),1.6279739498475587
2021-06-17,Combined Maximum-Sharpe (base),1.6062764698491128
2021-06-18,Combined Maximum-Sharpe (base),1.588474445482248
2021-06-21,Combined Maximum-Sharpe (base),1.595002826279563
2021-06-22,Combined Maximum-Sharpe (base),1.592595574020776
2021-06-23,Combined Maximum-Sharpe (base),1.6024415573806219
2021-06-24,Combined Maximum-Sharpe (base),1.6263431820404954
2021-06-25,Combined Maximum-Sharpe (base),1.6151817992328261
2021-06-28,Combined Maximum-Sharpe (base),1.6166030052019895
2021-06-29,Combined Maximum-Sharpe (base),1.6441697764007535
2021-06-30,Combined Maximum-Sharpe (base),1.6518060397043026
2021-07-01,Combined Maximum-Sharpe (base),1.650291440690194
2021-07-02,Combined Maximum-Sharpe (base),1.65875575663075
2021-07-06,Combined Maximum-Sharpe (base),1.6560798152977707
2021-07-07,Combined Maximum-Sharpe (base),1.6565593332295747
2021-07-08,Combined Maximum-Sharpe (base),1.6354113617226367
2021-07-09,Combined Maximum-Sharpe (base),1.6655282322707412
2021-07-12,Combined Maximum-Sharpe (base),1.6763744125423128
2021-07-13,Combined Maximum-Sharpe (base),1.6557713414584387
2021-07-14,Combined Maximum-Sharpe (base),1.654680300080794
2021-07-15,Combined Maximum-Sharpe (base),1.6452075453530923
2021-07-16,Combined Maximum-Sharpe (base),1.6210356231052698
2021-07-19,Combined Maximum-Sharpe (base),1.597478610158569
2021-07-20,Combined Maximum-Sharpe (base),1.6199869712818755
2021-07-21,Combined Maximum-Sharpe (base),1.6416494895795566
2021-07-22,Combined Maximum-Sharpe (base),1.6458464733733995
2021-07-23,Combined Maximum-Sharpe (base),1.6593908350465925
2021-07-26,Combined Maximum-Sharpe (base),1.6666578656088755
2021-07-27,Combined Maximum-Sharpe (base),1.6601214682869008
2021-07-28,Combined Maximum-Sharpe (base),1.6653231265964514
2021-07-29,Combined Maximum-Sharpe (base),1.6790362041265547
2021-07-30,Combined Maximum-Sharpe (base),1.6794016976787973
2021-08-02,Combined Maximum-Sharpe (base),1.6765762663897184
2021-08-03,Combined Maximum-Sharpe (base),1.6867571696819925
2021-08-04,Combined Maximum-Sharpe (base),1.6836095315650081
2021-08-05,Combined Maximum-Sharpe (base),1.695827095069518
2021-08-06,Combined Maximum-Sharpe (base),1.7008163185832998
2021-08-09,Combined Maximum-Sharpe (base),1.7179322183138148
2021-08-10,Combined Maximum-Sharpe (base),1.7412093193237153
2021-08-11,Combined Maximum-Sharpe (base),1.7538456368383373
2021-08-12,Combined Maximum-Sharpe (base),1.7643240124895614
2021-08-13,Combined Maximum-Sharpe (base),1.7698822647193446
2021-08-16,Combined Maximum-Sharpe (base),1.7679808979575145
2021-08-17,Combined Maximum-Sharpe (base),1.7497708823773244
2021-08-18,Combined Maximum-Sharpe (base),1.7426288217253407
2021-08-19,Combined Maximum-Sharpe (base),1.7408441834074067
2021-08-20,Combined Maximum-Sharpe (base),1.7598891521175843
2021-08-23,Combined Maximum-Sharpe (base),1.7744994353892185
2021-08-24,Combined Maximum-Sharpe (base),1.7741603583970558
2021-08-25,Combined Maximum-Sharpe (base),1.776602350972234
2021-08-26,Combined Maximum-Sharpe (base),1.761984003852567
2021-08-27,Combined Maximum-Sharpe (base),1.7855046263695467
2021-08-30,Combined Maximum-Sharpe (base),1.7865284014523215
2021-08-31,Combined Maximum-Sharpe (base),1.785324764023006
2021-09-01,Combined Maximum-Sharpe (base),1.798154877943439
2021-09-02,Combined Maximum-Sharpe (base),1.8068588838596118
2021-09-03,Combined Maximum-Sharpe (base),1.8019126328561037
2021-09-07,Combined Maximum-Sharpe (base),1.7716824669696607
2021-09-08,Combined Maximum-Sharpe (base),1.7708984452200187
2021-09-09,Combined Maximum-Sharpe (base),1.758935261980359
2021-09-10,Combined Maximum-Sharpe (base),1.7486918685663413
2021-09-13,Combined Maximum-Sharpe (base),1.7405419525446801
2021-09-14,Combined Maximum-Sharpe (base),1.7240041654259697
2021-09-15,Combined Maximum-Sharpe (base),1.7387231004294037
2021-09-16,Combined Maximum-Sharpe (base),1.7248426641301629
