date,ticker,weight,fund
2020-12-31,ABBV_EQ,0.20123138477641747,Combined Minimum-Variance
2020-12-31,ABT_EQ,-0.10520968409432754,Combined Minimum-Variance
2020-12-31,ADBE_EQ,-0.035497765850303564,Combined Minimum-Variance
2020-12-31,AEP_EQ,0.27741402815761756,Combined Minimum-Variance
2020-12-31,AMD_EQ,-0.0022598008994262116,Combined Minimum-Variance
2020-12-31,AMGN_EQ,-0.10441616345212094,Combined Minimum-Variance
2020-12-31,AMT_EQ,-0.07629545722215005,Combined Minimum-Variance
2020-12-31,BA_EQ,-0.05207356650695677,Combined Minimum-Variance
2020-12-31,CAT_EQ,0.07509047474815905,Combined Minimum-Variance
2020-12-31,CCI_EQ,-0.12692969809507065,Combined Minimum-Variance
2020-12-31,CMCSA_EQ,-0.05830720753982265,Combined Minimum-Variance
2020-12-31,COP_EQ,0.060220540146312916,Combined Minimum-Variance
2020-12-31,CVX_EQ,-0.05546259803891991,Combined Minimum-Variance
2020-12-31,D_EQ,-0.05336697100509555,Combined Minimum-Variance
2020-12-31,DD_EQ,-0.02380826668814301,Combined Minimum-Variance
2020-12-31,DIS_EQ,-0.02752980011106493,Combined Minimum-Variance
2020-12-31,DOW_EQ,-0.08188265896032593,Combined Minimum-Variance
2020-12-31,DUK_EQ,-0.10130085080561793,Combined Minimum-Variance
2020-12-31,EA_EQ,0.0776498710714375,Combined Minimum-Variance
2020-12-31,GE_EQ,0.06506267396823244,Combined Minimum-Variance
2020-12-31,GILD_EQ,0.11911147207796612,Combined Minimum-Variance
2020-12-31,GS_EQ,-0.06777404865181001,Combined Minimum-Variance
2020-12-31,INTC_EQ,-0.02117430120693566,Combined Minimum-Variance
2020-12-31,KO_EQ,0.08896017874321693,Combined Minimum-Variance
2020-12-31,MMM_EQ,0.13621749969975464,Combined Minimum-Variance
2020-12-31,MRK_EQ,0.17608078871784938,Combined Minimum-Variance
2020-12-31,MS_EQ,0.017883994083713082,Combined Minimum-Variance
2020-12-31,NEE_EQ,-0.05403237462417481,Combined Minimum-Variance
2020-12-31,NEM_EQ,0.12931792985162044,Combined Minimum-Variance
2020-12-31,NKE_EQ,0.11081329183072886,Combined Minimum-Variance
2020-12-31,NUE_EQ,-0.10574369275165481,Combined Minimum-Variance
2020-12-31,NVDA_EQ,-0.1724262788243955,Combined Minimum-Variance
2020-12-31,O_EQ,0.10647354182582287,Combined Minimum-Variance
2020-12-31,OXY_EQ,-0.03859886218473626,Combined Minimum-Variance
2020-12-31,PLD_EQ,0.1169728349459076,Combined Minimum-Variance
2020-12-31,PSA_EQ,0.060528184826858136,Combined Minimum-Variance
2020-12-31,QCOM_EQ,-0.05225351809036578,Combined Minimum-Variance
2020-12-31,SBUX_EQ,0.10719762762230543,Combined Minimum-Variance
