ticker,date,sector,n_headlines,vader_mean
ABBV,2020-01-02,Healthcare,3,0.1468
ABBV,2020-01-06,Healthcare,2,0.10115
ABBV,2020-01-07,Healthcare,5,0.4894200000000001
ABBV,2020-01-08,Healthcare,3,0.23786666666666667
ABBV,2020-01-10,Healthcare,3,0.0696
ABBV,2020-01-13,Healthcare,4,0.38645
ABBV,2020-01-14,Healthcare,3,0.0
ABBV,2020-01-15,Healthcare,4,0.2496
ABBV,2020-01-16,Healthcare,4,0.33430000000000004
ABBV,2020-01-21,Healthcare,4,0.057025
ABBV,2020-01-23,Healthcare,2,0.11315
ABBV,2020-01-24,Healthcare,2,0.4286
ABBV,2020-01-27,Healthcare,4,0.303625
ABBV,2020-01-28,Healthcare,1,0.7096
ABBV,2020-01-29,Healthcare,2,0.31845
ABBV,2020-01-30,Healthcare,2,0.32985
ABBV,2020-01-31,Healthcare,5,0.47252
ABBV,2020-02-03,Healthcare,4,0.14504999999999998
ABBV,2020-02-04,Healthcare,1,0.1027
ABBV,2020-02-05,Healthcare,5,0.03288
ABBV,2020-02-06,Healthcare,4,0.30269999999999997
ABBV,2020-02-07,Healthcare,11,0.21483636363636363
ABBV,2020-02-10,Healthcare,6,0.23556666666666662
ABBV,2020-02-11,Healthcare,3,0.1468
ABBV,2020-02-12,Healthcare,3,0.4732
ABBV,2020-02-13,Healthcare,1,0.6124
ABBV,2020-02-14,Healthcare,2,0.18479999999999996
ABBV,2020-02-18,Healthcare,8,0.22820000000000001
ABBV,2020-02-19,Healthcare,2,0.24695
ABBV,2020-02-21,Healthcare,1,0.296
ABBV,2020-02-24,Healthcare,2,0.0
ABBV,2020-02-25,Healthcare,3,0.29410000000000003
ABBV,2020-02-26,Healthcare,3,-0.09106666666666667
ABBV,2020-02-27,Healthcare,3,-0.12040000000000001
ABBV,2020-02-28,Healthcare,1,0.2023
ABBV,2020-03-02,Healthcare,4,0.34345000000000003
ABBV,2020-03-03,Healthcare,3,0.3058666666666667
ABBV,2020-03-04,Healthcare,2,0.5654
ABBV,2020-03-05,Healthcare,3,0.10166666666666667
ABBV,2020-03-06,Healthcare,7,0.20887142857142857
ABBV,2020-03-09,Healthcare,10,0.14689000000000002
ABBV,2020-03-10,Healthcare,2,0.27115
ABBV,2020-03-11,Healthcare,8,0.29371250000000004
ABBV,2020-03-12,Healthcare,5,0.18352
ABBV,2020-03-13,Healthcare,3,0.0
ABBV,2020-03-16,Healthcare,5,0.17064000000000001
ABBV,2020-03-17,Healthcare,6,0.2514
ABBV,2020-03-18,Healthcare,8,0.2219625
ABBV,2020-03-19,Healthcare,4,0.227025
ABBV,2020-03-20,Healthcare,2,0.48839999999999995
ABBV,2020-03-23,Healthcare,11,0.0882909090909091
ABBV,2020-03-24,Healthcare,3,0.28076666666666666
ABBV,2020-03-25,Healthcare,6,-0.014550000000000007
ABBV,2020-03-26,Healthcare,2,0.2294
ABBV,2020-03-27,Healthcare,4,0.24162499999999998
ABBV,2020-03-30,Healthcare,5,0.24738
ABBV,2020-03-31,Healthcare,6,0.32615000000000005
ABBV,2020-04-02,Healthcare,2,-0.064
ABBV,2020-04-03,Healthcare,1,0.4588
ABBV,2020-04-06,Healthcare,6,0.048633333333333334
ABBV,2020-04-07,Healthcare,6,0.07918333333333334
ABBV,2020-04-08,Healthcare,6,0.19919999999999996
ABBV,2020-04-09,Healthcare,4,-0.14562499999999998
ABBV,2020-04-13,Healthcare,11,0.12925454545454548
ABBV,2020-04-14,Healthcare,3,-0.0077333333333333325
ABBV,2020-04-15,Healthcare,2,0.148
ABBV,2020-04-16,Healthcare,6,0.38981666666666664
ABBV,2020-04-17,Healthcare,7,0.29261428571428577
ABBV,2020-04-20,Healthcare,10,0.17537
ABBV,2020-04-21,Healthcare,6,0.29091666666666666
ABBV,2020-04-22,Healthcare,9,0.24891111111111114
ABBV,2020-04-23,Healthcare,2,0.1816
ABBV,2020-04-24,Healthcare,8,0.02735
ABBV,2020-04-27,Healthcare,12,0.23282499999999998
ABBV,2020-04-28,Healthcare,4,0.18625000000000003
ABBV,2020-04-29,Healthcare,4,0.13334999999999997
ABBV,2020-04-30,Healthcare,6,0.30456666666666665
ABBV,2020-05-01,Healthcare,19,0.27745263157894734
