date,sector,sentiment
2020-01-02,Comm,0.110204
2020-01-03,Comm,0.05423
2020-01-06,Comm,0.14604583333333335
2020-01-07,Comm,0.22729333333333335
2020-01-08,Comm,0.187154
2020-01-09,Comm,0.12916000000000002
2020-01-10,Comm,0.028676666666666673
2020-01-13,Comm,0.015929166666666675
2020-01-14,Comm,0.0708
2020-01-15,Comm,0.00041833333333333165
2020-01-16,Comm,0.17031666666666667
2020-01-17,Comm,0.038040000000000004
2020-01-21,Comm,0.03661166666666667
2020-01-22,Comm,0.10965
2020-01-23,Comm,0.27562828571428566
2020-01-24,Comm,0.15444963636363634
2020-01-27,Comm,-0.012296363636363638
2020-01-28,Comm,0.084971
2020-01-29,Comm,0.31451300000000004
2020-01-30,Comm,-0.017145
2020-01-31,Comm,-0.14089363636363636
2020-02-03,Comm,0.12937
2020-02-04,Comm,0.13528649999999998
2020-02-05,Comm,-0.006538333333333329
2020-02-06,Comm,0.14503857142857143
2020-02-07,Comm,0.118286
2020-02-10,Comm,0.0806125
2020-02-11,Comm,0.0011376470588235431
2020-02-12,Comm,0.17967277777777776
2020-02-13,Comm,0.12105309523809524
2020-02-14,Comm,0.12498000000000001
2020-02-18,Comm,0.17579857142857142
2020-02-19,Comm,0.07368166666666666
2020-02-20,Comm,0.034215
2020-02-21,Comm,0.028839999999999998
2020-02-24,Comm,0.07828333333333333
2020-02-25,Comm,0.12050666666666668
2020-02-26,Comm,0.11783666666666667
2020-02-27,Comm,0.13324
2020-02-28,Comm,-0.11923499999999998
2020-03-02,Comm,0.15272666666666668
2020-03-03,Comm,0.066549
2020-03-04,Comm,0.10109666666666664
2020-03-05,Comm,0.2552066666666667
2020-03-06,Comm,0.08686
2020-03-09,Comm,0.07298261904761906
2020-03-10,Comm,0.016370666666666662
2020-03-11,Comm,-0.024060000000000005
2020-03-12,Comm,-0.04318
2020-03-13,Comm,0.06889799999999999
2020-03-16,Comm,-0.09016622222222224
2020-03-17,Comm,0.09124266666666667
2020-03-18,Comm,0.033972
2020-03-19,Comm,0.02861833333333333
2020-03-20,Comm,-0.044545
2020-03-23,Comm,0.17953232467532465
2020-03-24,Comm,0.2194367619047619
2020-03-25,Comm,0.23466
2020-03-26,Comm,0.17174999999999999
2020-03-27,Comm,0.163336
